job_id,company,title,min_exp_years,max_exp_years,seniority,required_skills,tech_stack,role_focus,requirements_clarity,red_flags,error,raw_response
11,LTM,Machine Learning Engineer,,,unclear,"['Generative AI', 'AI/ML', 'MLOps']",[],"Generative AI, AI/ML, and MLOps project development",missing,"['Generic recruiter outreach, not a structured job description', 'Missing structured requirements, skills list, experience range, or responsibilities']",,
12,Cognite,Machine Learning Engineer,3,6,mid,"['Strong Python Programming', 'Software Engineering (ML focus)', 'Data Pipeline Development', 'RESTful API Development', 'gRPC API Development', 'Containerization (Docker)', 'Linux Command Line / Navigation', 'Machine Learning Experimentation', 'Foundational Model Fine-tuning (NLP, Vision-Language Models)', 'Unit Testing', 'Integration Testing', 'ML Model Performance Monitoring', 'ML Model Drift Monitoring', 'MLOps Principles', 'Complex SQL Queries', 'Large-Scale Data Processing', 'Cloud Platforms (general knowledge)']","['Python', 'PyTorch', 'TensorFlow', 'Hugging Face', 'LangChain', 'PySpark', 'Pandas', 'Dask', 'Docker', 'Linux', 'AWS', 'Azure', 'GCP', 'Pinecone', 'Milvus', 'Qdrant', 'Parquet', 'Delta Lake', 'Iceberg', 'FastAPI', 'Flask']","Industrial contextual AI development using GenAI, Deep Learning, and Computer Vision",clear,['Extensive tech stack listed for a mid-level experience range (3-6 years)'],,
13,Infosys,AI Engineers,,,senior,"['Python programming', 'Machine Learning model design', 'Machine Learning model development', 'Machine Learning model deployment', 'AI model design', 'AI model development', 'AI model deployment', 'Data pipeline building', 'Data pipeline maintenance', 'Supervised learning algorithms', 'Unsupervised learning algorithms', 'Natural Language Processing (NLP)', 'Computer Vision', 'Deep Learning', 'Model optimization', 'Data preprocessing', 'Feature engineering', 'Model evaluation', 'Regression algorithms', 'Classification algorithms', 'Clustering algorithms', 'API development', 'Microservices architecture', 'Statistics', 'Probability']","['Python', 'Scikit-learn', 'TensorFlow', 'PyTorch', 'Pandas', 'NumPy', 'AWS', 'Azure', 'GCP', 'GPT', 'LangChain', 'Hugging Face', 'MLflow', 'Kubeflow', 'Airflow', 'Docker', 'Kubernetes', 'Spark', 'PySpark', 'REST APIs', 'FAISS', 'Pinecone']",End-to-end Machine Learning and AI Model Development and Deployment,clear,['Mismatched primary skills metadata (Turbomachinery -> Steam Turbine -> Rotor)'],,
14,Chubb,AI/ML Engineer,4,,senior,"['Deep learning', 'NLP', 'Generative AI', 'LLM development', 'LLM fine-tuning', 'LLM training', 'Generative AI system design', 'Conversational AI development', 'Decision-making system development', 'ML model data collection', 'ML model training', 'ML model deployment', 'Research of deep learning techniques', 'Implementation of deep learning techniques', 'Deep learning training pipeline optimization', 'Performance metrics development', 'Large dataset processing', 'Data preprocessing', 'Data cleaning', 'Data normalization', 'NLP techniques', 'LLMOps', 'Agentic AI Development']","['TensorFlow', 'PyTorch', 'Keras', 'Azure', 'Hugging Face Transformers', 'Python', 'R']",Generative AI and LLM development,clear,"['Additional specific year requirements added by poster, potentially implying higher overall experience than the main stated minimum.']",,
15,Hitachi Digital Services,AI/ML Engineer(s),5,,senior,"['Machine Learning', 'Deep Learning', 'Model Training', 'Model Development', 'Supervised Learning', 'Unsupervised Learning', 'Reinforcement Learning', 'Feature Engineering', 'Data Processing', 'ML Model Deployment', 'CI/CD', 'Containerization', 'MLOps', 'Python Programming', 'ETL']","['TensorFlow', 'PyTorch', 'scikit-learn', 'Docker', 'Kubernetes', 'AWS', 'Azure']",MLOps and ML model development,clear,[],,
16,Nielsen,Machine Learning Engineer (MLE-3),3,6,senior,"['Python', 'SQL', 'Distributed computing', 'Data analytics', 'Statistical analysis', 'Data visualization', 'Reporting', 'Production ML deployment', 'LLM application development', 'Generative AI application development', 'Classification', 'Regression', 'Anomaly detection', 'Boosted models', 'Deep learning']","['Spark', 'Airflow', 'MLflow']",End-to-end ML Engineering with a focus on Generative AI applications,clear,[],,
17,Augury,GenAI Engineer (AgenticAI),2,4,mid,"['GenAI/AgenticAI in production', 'LLM workflows (prompting, embeddings, RAG, tool calling, evaluation)', 'HITL evaluation methods', 'LLM-as-judge evaluation methods', 'Python for model development', 'Python for backend services', 'Time-series modeling', 'Signal processing', 'REST API development', 'gRPC API development', 'System monitoring (performance, drift, reliability, cost)']","['LangChain', 'CrewAI', 'AutoGen', 'LangGraph', 'Python', 'LLMs', 'REST', 'gRPC']",End-to-end GenAI and Agentic AI application development for industrial challenges,clear,"['High expectations for 2-4 years of experience, demanding end-to-end ownership and diverse skills']",,
18,Nians,Generative AI Engineer,1,,mid,"['Prompt engineering', 'Building and using AI agents', 'Designing and building agentic systems', 'Tool-using AI', 'Function calling', 'Workflow automation', 'Multi-step reasoning pipelines', 'Integrating LLM APIs into applications', 'Designing RAG systems', 'Developing AI-driven coding workflows and automation pipelines', 'Embeddings', 'Vector databases', 'Code generation and debugging with AI tools']","['Claude', 'ChatGPT', 'Codex', 'OpenAI', 'Copilot', 'Claude Code', 'LangChain', 'LangGraph', 'CrewAI', 'Python', 'Node.js', 'JavaScript', 'TypeScript', 'REST APIs']",AI agent and LLM application development,clear,['Expected broad expertise in modern AI tooling and complex system design for a stated 1+ year experience preference'],,
19,Toptal,Artificial Intelligence Engineer (AI Implementation Engineer),,,senior,"['Software engineering', 'AI agent development', 'RAG pipeline implementation', 'LLM-based application development', 'Understanding of embeddings', 'Understanding of vector databases', 'Understanding of retrieval strategies', 'Prompt engineering', 'AI system quality evaluation', 'AI system latency evaluation', 'AI system cost evaluation', 'AI system reliability evaluation', 'Model output evaluation', 'Prompt strategy improvement', 'Testing support', 'Observability support']","['Python', 'Modern backend systems', 'LLMs', 'RAG', 'AI agents', 'LangChain', 'LangGraph', 'LangSmith', 'Langfuse', 'LlamaIndex', 'Semantic Kernel', 'Vector databases', 'APIs', 'Databases']",AI-powered applications and agentic systems development,clear,[],,
20,Siemens Digital Industries Software,AI Software Engineer (GenAI & Agentic Systems),,,senior,"['Python software engineering', 'Clean code practices', 'Software testing', 'Code refactoring', 'LLM-enabled systems (beyond prototypes)', 'Practical RAG (Retrieval-Augmented Generation)', 'AI agents', 'Tool calling', 'Multi-step orchestration (AI workflows)', 'Git', 'CI/CD', 'Agile methodologies', 'Scrum methodologies', 'Kanban methodologies', 'Documentation skills', 'Production engineering (AWS)', 'Production engineering (Azure)']","['Claude Code', 'Amazon Bedrock AgentCore', 'Amazon Bedrock Knowledge Bases', 'Microsoft Foundry', 'LangChain', 'Semantic Kernel', 'PydanticAI', 'Vector stores', 'Embedding strategies', 'AWS', 'Azure']",Embedded AI application development and productionization,clear,[],,
21,Learneo,Applied AI Engineer II,3,,mid,"['Python', 'Scientific Python Stack', 'CUDA', 'MLOps expertise', 'Full Stack Machine Learning', 'CI/CD', 'Data Management', 'ML Infrastructure Troubleshooting', 'On-premises MLOps Solution Design', 'ML Model Performance Optimization', 'ML Model Validation & Evaluation', 'Unit Testing', 'Integration Testing', 'Deployment Tools Development', 'Monitoring Tools Development', 'Operations Tools Development']","['Linux', 'Docker', 'Kubernetes', 'GCP', 'AWS', 'Azure']",MLOps infrastructure development and operations,clear,[],,
